Epoch	Episode	Cost	TotalEnvInteracts	Time
3	109	1.0	1110	1231.0008549690247
3	110	2.0	1121	1243.8217720985413
3	111	0.0	1132	1256.844330072403
3	112	2.0	1143	1269.338301897049
3	113	0.0	1154	1281.8952379226685
3	114	0.0	1163	1292.061010837555
3	115	5.0	1174	1304.6786727905273
3	116	0.0	1185	1316.9615738391876
3	117	1.0	1196	1329.1505727767944
3	118	2.0	1207	1341.4731431007385
3	119	1.0	1218	1354.2552728652954
4	120	0.0	1229	1380.3386688232422
4	121	1.0	1240	1393.796194076538
4	122	1.0	1251	1407.36661195755
4	123	0.0	1262	1420.2186679840088
4	124	1.0	1273	1433.8100728988647
4	125	1.0	1284	1447.4034659862518
4	126	2.0	1295	1461.1164169311523
4	127	2.0	1306	1474.266813993454
4	128	0.0	1317	1487.8607540130615
4	129	4.0	1328	1501.6691648960114
4	130	3.0	1339	1515.127916097641
4	131	3.0	1350	1528.2049107551575
4	132	0.0	1361	1541.4922318458557
4	133	0.0	1372	1554.5817708969116
4	134	0.0	1383	1567.924876689911
4	135	0.0	1394	1580.949385881424
4	136	2.0	1405	1593.3354289531708
4	137	3.0	1416	1605.6123769283295
4	138	3.0	1427	1617.9103717803955
4	139	0.0	1438	1631.2043027877808
4	140	3.0	1449	1644.1138451099396
4	141	0.0	1460	1657.361027956009
4	142	1.0	1471	1670.0328269004822
4	143	1.0	1482	1682.4279589653015
4	144	0.0	1493	1695.1147520542145
4	145	0.0	1504	1708.2564947605133
4	146	1.0	1515	1721.7361769676208
4	147	0.0	1526	1735.103788137436
4	148	0.0	1537	1747.336769104004
4	149	0.0	1548	1760.3379180431366
